date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,result,home_form,away_form,home_elo,away_elo,elo_difference,goal_difference,tournament_weight
2016-03-26,Anguilla,Puerto Rico,0.0,4.0,CFU Caribbean Cup qualification,The Valley,Anguilla,False,,A,0.0,0.5,996.0,1000.0,-4.0,-4.0,2.0
2016-03-26,Aruba,Saint Kitts and Nevis,0.0,2.0,CFU Caribbean Cup qualification,Oranjestad,Aruba,False,,A,0.0,0.5,992.0,1000.0,-8.0,-2.0,2.0
2016-03-26,Austria,Albania,2.0,1.0,Friendly,Vienna,Austria,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-03-26,Azerbaijan,Kazakhstan,0.0,1.0,Friendly,Belek,Turkey,True,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,1.0
2016-03-26,Bermuda,French Guiana,2.0,1.0,CFU Caribbean Cup qualification,Hamilton,Bermuda,False,,H,0.0,0.0,991.8158257405154,995.9539503327109,-4.14,1.0,2.0
2016-03-26,British Virgin Islands,Dominica,0.0,7.0,CFU Caribbean Cup qualification,Road Town,British Virgin Islands,False,,A,0.0,0.5,992.0,1000.0,-8.0,-7.0,2.0
2016-03-26,Burkina Faso,Uganda,1.0,0.0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,False,,H,0.0,0.06666666666666667,996.0005301663841,1000.0,-4.0,1.0,2.0
2016-03-26,Burundi,Namibia,1.0,3.0,African Cup of Nations qualification,Bujumbura,Burundi,False,,A,0.5,0.5,1000.0,1000.0,0.0,-2.0,2.0
2016-03-26,Cameroon,South Africa,2.0,2.0,African Cup of Nations qualification,Limbé,Cameroon,False,,D,0.13333333333333333,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-26,Cape Verde,Morocco,0.0,1.0,African Cup of Nations qualification,Praia,Cape Verde,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,2.0
2016-03-26,DR Congo,Angola,2.0,1.0,African Cup of Nations qualification,Kinshasa,DR Congo,False,,H,0.0,0.5,996.0,1000.0,-4.0,1.0,2.0
2016-03-26,Zimbabwe,Eswatini,4.0,0.0,African Cup of Nations qualification,Harare,Zimbabwe,False,,H,0.06666666666666667,0.06666666666666667,1000.0,1000.0,0.0,4.0,2.0
2016-03-26,Curaçao,Dominican Republic,2.0,1.0,CFU Caribbean Cup qualification,Willemstad,Curaçao,False,,H,0.0,0.5,992.0,1000.0,-8.0,1.0,2.0
2016-03-26,Germany,England,2.0,3.0,Friendly,Berlin,Germany,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,1.0
2016-03-26,Hungary,Croatia,1.0,1.0,Friendly,Budapest,Hungary,False,,D,0.5,0.2,1000.0,1004.0,-4.0,0.0,1.0
2016-03-26,Mauritius,Rwanda,1.0,0.0,African Cup of Nations qualification,Mapou,Mauritius,False,,H,0.5,0.26666666666666666,1000.0,1004.0,-4.0,1.0,2.0
2016-03-26,Poland,Finland,5.0,0.0,Friendly,Wrocław,Poland,False,,H,0.2,0.0,1004.0,992.0460496672891,11.95,5.0,1.0
2016-03-26,Russia,Lithuania,3.0,0.0,Friendly,Moscow,Russia,False,,H,0.5,0.0,1000.0,996.0,4.0,3.0,1.0
